risk_factor,path,time_years,value
NASDAQ100,0,1.25,17853.86084759187
NASDAQ100,0,1.5,18492.56722539793
NASDAQ100,0,1.75,18758.772588321008
NASDAQ100,0,2.0,22584.836369545003
NASDAQ100,0,2.25,22220.90032660917
NASDAQ100,0,2.5,19546.506451868587
NASDAQ100,0,2.75,19294.059288130866
NASDAQ100,0,3.0,20908.185015300118
NASDAQ100,0,3.25,21321.675695089732
NASDAQ100,0,3.5,20425.69210193025
NASDAQ100,0,3.75,21721.11506610849
NASDAQ100,0,4.0,21762.897427140735
NASDAQ100,0,4.25,22391.339081479997
NASDAQ100,0,4.5,19866.670489106586
NASDAQ100,0,4.75,21113.062596735705
NASDAQ100,0,5.0,22456.234911727963
NASDAQ100,1,0.0,18000.0
NASDAQ100,1,0.25,16547.876684115694
NASDAQ100,1,0.5,16894.707853223234
NASDAQ100,1,0.75,18295.18002081733
NASDAQ100,1,1.0,16163.152036490217
NASDAQ100,1,1.25,15562.418182795613
NASDAQ100,1,1.5,16904.304592285545
NASDAQ100,1,1.75,15641.049673377429
NASDAQ100,1,2.0,13845.831895354368
NASDAQ100,1,2.25,12430.016369511626
NASDAQ100,1,2.5,13927.377865753719
NASDAQ100,1,2.75,14503.706929469592
NASDAQ100,1,3.0,16416.168053581576
NASDAQ100,1,3.25,14881.903476182206
NASDAQ100,1,3.5,13016.820004342886
NASDAQ100,1,3.75,16054.511756906164
NASDAQ100,1,4.0,12621.103227989237
NASDAQ100,1,4.25,11779.795481545629
NASDAQ100,1,4.5,11650.445907180643
NASDAQ100,1,4.75,11371.013668930465
NASDAQ100,1,5.0,11848.662666594772
NASDAQ100,2,0.0,18000.0
NASDAQ100,2,0.25,20044.76019089265
NASDAQ100,2,0.5,19739.166266050826
NASDAQ100,2,0.75,18812.074250892347
NASDAQ100,2,1.0,15597.399160210793
NASDAQ100,2,1.25,15398.328309247214
NASDAQ100,2,1.5,15032.753162997862
NASDAQ100,2,1.75,17257.58865328036
NASDAQ100,2,2.0,22819.34768691459
NASDAQ100,2,2.25,23862.094174028163
NASDAQ100,2,2.5,22950.703419756184
NASDAQ100,2,2.75,25865.609124223654
NASDAQ100,2,3.0,24828.955129815495
NASDAQ100,2,3.25,26043.091045918263
NASDAQ100,2,3.5,24379.382958841397
NASDAQ100,2,3.75,26684.43956917127
NASDAQ100,2,4.0,27615.893387463508
NASDAQ100,2,4.25,33723.57215733556
NASDAQ100,2,4.5,29871.9822421863
NASDAQ100,2,4.75,31101.445825958122
NASDAQ100,2,5.0,29056.272867975167
NASDAQ100,3,0.0,18000.0
NASDAQ100,3,0.25,15893.228953023354
NASDAQ100,3,0.5,12903.002344895369
NASDAQ100,3,0.75,11088.997313128903
NASDAQ100,3,1.0,9925.34292043553
NASDAQ100,3,1.25,9564.093520855968
NASDAQ100,3,1.5,9616.059898093648
NASDAQ100,3,1.75,10577.056122828777
NASDAQ100,3,2.0,10091.996592037845
NASDAQ100,3,2.25,13515.101602669165
NASDAQ100,3,2.5,13631.71695980386
NASDAQ100,3,2.75,12613.543298311224
NASDAQ100,3,3.0,12563.07560229146
NASDAQ100,3,3.25,12284.949823312561
NASDAQ100,3,3.5,9638.024948564016
NASDAQ100,3,3.75,8222.630434940711
NASDAQ100,3,4.0,7598.916772822537
NASDAQ100,3,4.25,6841.570383813573
NASDAQ100,3,4.5,8567.406764579036
NASDAQ100,3,4.75,9292.75685407673
NASDAQ100,3,5.0,9484.3057383184
NASDAQ100,4,0.0,18000.0
NASDAQ100,4,0.25,19160.053988933996
NASDAQ100,4,0.5,17824.403986979763
NASDAQ100,4,0.75,19406.64494894526
NASDAQ100,4,1.0,18086.16749487432
NASDAQ100,4,1.25,20351.78720244859
NASDAQ100,4,1.5,21510.15817691638
NASDAQ100,4,1.75,17045.364717787368
NASDAQ100,4,2.0,20092.373524512845
NASDAQ100,4,2.25,23297.52009265621
NASDAQ100,4,2.5,22244.90581018668
NASDAQ100,4,2.75,24672.342389496524
NASDAQ100,4,3.0,26365.083210560035
NASDAQ100,4,3.25,28156.174948359272
NASDAQ100,4,3.5,31066.819056759556
NASDAQ100,4,3.75,29705.129970279428
NASDAQ100,4,4.0,29384.255041725213
NASDAQ100,4,4.25,28936.79745888988
NASDAQ100,4,4.5,21677.89924698862
NASDAQ100,4,4.75,23774.852966839593
NASDAQ100,4,5.0,24919.803855676473
NASDAQ100,5,0.0,18000.0
NASDAQ100,5,0.25,19483.69817522069
NASDAQ100,5,0.5,18813.621214744526
NASDAQ100,5,0.75,15553.741836964022
NASDAQ100,5,1.0,16297.008530964818
NASDAQ100,5,1.25,17822.644627165697
NASDAQ100,5,1.5,15918.801528543772
NASDAQ100,5,1.75,16550.263392474088
NASDAQ100,5,2.0,16067.257161543876
NASDAQ100,5,2.25,14776.748459439219
NASDAQ100,5,2.5,12950.51896247425
NASDAQ100,5,2.75,13644.914380149517
NASDAQ100,5,3.0,13080.68416335775
NASDAQ100,5,3.25,13167.753045618803
NASDAQ100,5,3.5,15337.089733243627
NASDAQ100,5,3.75,14519.019366757691
NASDAQ100,5,4.0,12078.543241949028
NASDAQ100,5,4.25,11566.4680419013
NASDAQ100,5,4.5,10846.13439748071
NASDAQ100,5,4.75,11585.743052349364
NASDAQ100,5,5.0,10454.75816863912
NASDAQ100,6,0.0,18000.0
NASDAQ100,6,0.25,20352.9713605577
NASDAQ100,6,0.5,19006.860223051357
NASDAQ100,6,0.75,21952.013603069245
NASDAQ100,6,1.0,22346.02440645394
NASDAQ100,6,1.25,19185.08013501326
NASDAQ100,6,1.5,19242.668029981345
NASDAQ100,6,1.75,22665.207823987737
NASDAQ100,6,2.0,21049.96605615931
NASDAQ100,6,2.25,22012.42570997626
NASDAQ100,6,2.5,21964.12351662183
NASDAQ100,6,2.75,22698.416263344297
NASDAQ100,6,3.0,23882.59319061019
NASDAQ100,6,3.25,26338.692136590562
NASDAQ100,6,3.5,24499.87315734921
NASDAQ100,6,3.75,22722.376047066817
NASDAQ100,6,4.0,21995.174818476244
NASDAQ100,6,4.25,22015.53574430541
NASDAQ100,6,4.5,23634.650123997875
NASDAQ100,6,4.75,27593.297090807704
NASDAQ100,6,5.0,23328.37888360752
NASDAQ100,7,0.0,18000.0
NASDAQ100,7,0.25,18609.209955189654
NASDAQ100,7,0.5,19371.13274744693
NASDAQ100,7,0.75,17638.345694419357
NASDAQ100,7,1.0,16613.22693597411
NASDAQ100,7,1.25,17849.215767539088
NASDAQ100,7,1.5,16392.39850542213
NASDAQ100,7,1.75,17585.032983014404
NASDAQ100,7,2.0,18331.356694800914
NASDAQ100,7,2.25,14322.23024853522
NASDAQ100,7,2.5,15727.743107700175
NASDAQ100,7,2.75,16409.48305290314
NASDAQ100,7,3.0,18313.072586893588
NASDAQ100,7,3.25,18113.161828771215
NASDAQ100,7,3.5,17980.438688146045
NASDAQ100,7,3.75,17354.488097680318
NASDAQ100,7,4.0,17807.22044509792
NASDAQ100,7,4.25,16430.902055028608
NASDAQ100,7,4.5,15328.629078194983
NASDAQ100,7,4.75,12821.497364664616
NASDAQ100,7,5.0,12206.79488026665
NASDAQ100,8,0.0,18000.0
NASDAQ100,8,0.25,22528.01113646444
NASDAQ100,8,0.5,23354.900389598643
NASDAQ100,8,0.75,25799.379645541863
NASDAQ100,8,1.0,24136.93078122526
NASDAQ100,8,1.25,27051.58163836686
NASDAQ100,8,1.5,25779.535099878627
NASDAQ100,8,1.75,19913.550379824654
NASDAQ100,8,2.0,17161.11646768379
