counterparty,time_years,path,exposure,hazard_rate,default_weight
Bank B,1.5,1327,399715.94592240005,0.024665824656128654,0.004762318868942295
Bank B,1.5,1328,1312288.3393697033,0.03669454844572892,0.008456239715507685
Bank B,1.5,1329,2506450.3566889064,0.06296603754947655,0.012781275772736578
Bank B,1.5,1330,776921.7878045216,0.02600056533094435,0.006911121089530958
Bank B,1.5,1331,862651.3212734095,0.03278134911954304,0.007630677155203935
Bank B,1.5,1332,1637826.1803312672,0.019718960993365637,0.004294636447223277
Bank B,1.5,1333,2906258.505690311,0.03330939689807869,0.00837886641410146
Bank B,1.5,1334,5204059.132787997,0.05648623629366537,0.01239814412421747
Bank B,1.5,1335,2522575.741054714,0.027936648439280384,0.0065123595651127575
Bank B,1.5,1336,1830277.7627047398,0.020760596859607697,0.006943495078787332
Bank B,1.5,1337,1370783.0982114568,0.03228754245338877,0.006972020890475772
Bank B,1.5,1338,246904.17778991707,0.025943735749662356,0.0068647221584843265
Bank B,1.5,1339,4300789.054826638,0.05069293422836616,0.01082895723896149
Bank B,1.5,1340,4904282.273080507,0.02855035180172942,0.0061271907419521154
Bank B,1.5,1341,963504.8324604026,0.016158988251681692,0.003939837803304647
Bank B,1.5,1342,1048669.6818259107,0.02266945527094045,0.006777482886448305
Bank B,1.5,1343,2554280.872883439,0.011859392962068858,0.003746510305227324
Bank B,1.5,1344,654159.4484166519,0.02039966082179957,0.0048074960755554175
Bank B,1.5,1345,1430229.424058579,0.011257562842763151,0.0033536911818312642
Bank B,1.5,1346,1392468.3368330083,0.019615510502792706,0.006094289836196198
Bank B,1.5,1347,743369.1569174669,0.026453473004788324,0.005722466291083528
Bank B,1.5,1348,1256250.3322778628,0.02171069561939398,0.0046446402439921375
Bank B,1.5,1349,606396.1828023359,0.014291652882098334,0.004189986314860894
Bank B,1.5,1350,1194373.945827504,0.011748384341994308,0.002626183682180483
Bank B,1.5,1351,1557666.199151049,0.032780626973836144,0.007857712681695883
Bank B,1.5,1352,3341358.1418802785,0.016735289323695036,0.00440212669901241
Bank B,1.5,1353,1320167.4313651118,0.049170840734402484,0.011202288224662849
Bank B,1.5,1354,5949.820248353644,0.017068969183051175,0.004194663864966586
Bank B,1.5,1355,1482532.4916301037,0.01858439909257212,0.004977606248117938
Bank B,1.5,1356,1946977.6329346597,0.04042893273659175,0.0077284110671330675
Bank B,1.5,1357,831565.2878909376,0.020235708941461424,0.00458477968835902
Bank B,1.5,1358,4424186.055597479,0.03278022836380516,0.007187814808809367
Bank B,1.5,1359,0.0,0.008015747027853577,0.00521510903209399
Bank B,1.5,1360,2723037.0838967566,0.058498351685573956,0.011021186097228908
Bank B,1.5,1361,3145240.4658296644,0.028714074921504518,0.0073101285136888405
Bank B,1.5,1362,3170010.303750845,0.03143365193598041,0.008496872918769771
Bank B,1.5,1363,1167042.939222628,0.018773794520546522,0.00472572408587435
Bank B,1.5,1364,4280584.079730246,0.042872102153719525,0.009985302422153008
Bank B,1.5,1365,1649429.0796319034,0.03498764478325927,0.008713126269764726
Bank B,1.5,1366,3944671.299686415,0.031704714611177964,0.007250636843120106
Bank B,1.5,1367,341531.73964069155,0.006865958774359359,0.00204476778541407
Bank B,1.5,1368,1904405.9772849502,0.03161174226930492,0.007797369093683337
Bank B,1.5,1369,223620.32192670513,0.01798225565255067,0.003790045815367127
Bank B,1.5,1370,325249.000378096,0.023170811262559383,0.004820546329269648
Bank B,1.5,1371,2545224.5422218777,0.025458751457893253,0.005996115203246277
Bank B,1.5,1372,2880478.482068139,0.046952773921596413,0.00975182191465318
Bank B,1.5,1373,1154241.1038863175,0.01904665967814861,0.006229637612933714
Bank B,1.5,1374,1595824.9485105672,0.037805357223495775,0.007495686122045653
Bank B,1.5,1375,1738229.6803308905,0.009216346340747568,0.003465492802471215
Bank B,1.5,1376,2917357.8538722256,0.01267083732425944,0.0033745455899996113
Bank B,1.5,1377,1803829.4456447773,0.03344725948395385,0.007473068008428396
Bank B,1.5,1378,4099880.409227796,0.027857279480155272,0.006131120212726104
Bank B,1.5,1379,4393765.380575812,0.0426497525663672,0.010286184144891242
Bank B,1.5,1380,2227370.1754399473,0.05022315440845386,0.011901798173235223
Bank B,1.5,1381,1552459.361358873,0.018991766974893833,0.004115232829733473
Bank B,1.5,1382,469819.49743218656,0.031394452620970945,0.008092406885390369
Bank B,1.5,1383,2036327.5121341553,0.019540912700028095,0.003645239948114831
Bank B,1.5,1384,2720803.6717263535,0.02229390256641572,0.0055956938393721956
Bank B,1.5,1385,937164.1789096653,0.03839260575876083,0.009170579864935191
Bank B,1.5,1386,4556502.154324788,0.04366848003168726,0.009869963540458104
Bank B,1.5,1387,541780.9779110284,0.01640375874307592,0.0029611533574050997
Bank B,1.5,1388,2220493.092610169,0.017588878327771444,0.0040253424511869085
Bank B,1.5,1389,2984190.3804166475,0.03169235176313046,0.00888526869327122
Bank B,1.5,1390,656327.4655149593,0.01009421069898997,0.0017322661062912914
Bank B,1.5,1391,2827676.4024027023,0.02361766040743121,0.00643822321125298
Bank B,1.5,1392,505274.7201655052,0.016275944954984592,0.004929846462947252
Bank B,1.5,1393,2221946.5899956566,0.0317601753115223,0.006676130670000391
Bank B,1.5,1394,1964475.9990282105,0.03827821370631684,0.009605912351336787
Bank B,1.5,1395,3510049.321179329,0.041295026811867974,0.009147845377525998
Bank B,1.5,1396,1015675.466782523,0.019359090257865176,0.006342040705558882
Bank B,1.5,1397,2564976.247075865,0.040399705255153254,0.009664714559427523
Bank B,1.5,1398,2157566.6965671494,0.01588373115641363,0.0039757208619985995
Bank B,1.5,1399,642869.9807965527,0.0183890984952035,0.004764939346798891
Bank B,1.5,1400,2726139.238452631,0.03313749806835102,0.00660833082849388
Bank B,1.5,1401,2266890.9034235175,0.05307001242406405,0.01259687384523367
Bank B,1.5,1402,2647174.3597708354,0.04412910687606539,0.01097589835370294
Bank B,1.5,1403,429.37280170354643,0.018714644452704373,0.0050095085116647065
Bank B,1.5,1404,348534.4501954725,0.014942478077656769,0.002894656242509508
Bank B,1.5,1405,1651477.9986044632,0.03423328365753296,0.007638773546781885
Bank B,1.5,1406,3610940.978836152,0.03389867158019038,0.006963059146636197
Bank B,1.5,1407,2388640.620178243,0.032521416225833585,0.007318678324105821
Bank B,1.5,1408,768793.39744418,0.021872605492795516,0.004624004385746616
Bank B,1.5,1409,1744310.252205249,0.02392343759812638,0.006724517219710235
Bank B,1.5,1410,5625742.629844873,0.03985096915558922,0.01042452638939484
Bank B,1.5,1411,1841520.0829041097,0.022763003120235898,0.005433472725873467
Bank B,1.5,1412,2428860.9317505974,0.015779130465201165,0.004799944666946887
Bank B,1.5,1413,2398002.106657541,0.037656049828202906,0.008942600112961219
Bank B,1.5,1414,3141648.1515743723,0.03051199775023899,0.009189202275144637
Bank B,1.5,1415,609244.041646853,0.02532284374863707,0.005616128190985115
Bank B,1.5,1416,1904761.007154778,0.01704104240622585,0.0056918289116194565
Bank B,1.5,1417,908053.8549667862,0.02604783181066954,0.006244116448440473
Bank B,1.5,1418,1560852.4595614541,0.04166977441036017,0.009880785156007543
Bank B,1.5,1419,1279707.1186096491,0.04696984340662767,0.010400337664881465
Bank B,1.5,1420,2567144.4619031074,0.03391250535286007,0.007654457759924016
Bank B,1.5,1421,1867281.0203031497,0.03874564487943619,0.009490808057918798
