scenario,counterparty,netting_set,time_years,ee,pfe_95,default_weighted_ee,default_weighted_pfe_95,mean_hazard,mean_default_probability
independent,Fund C,NS_FUND_C,4.5,315088.1085687162,1845712.2794872408,315011.518075761,1846760.5120059378,0.023859377298399456,0.005378604870635178
independent,Fund C,NS_FUND_C,4.75,329652.4982318342,1973392.5128042751,332490.50527450716,1971042.6860086673,0.02387825389048034,0.005343608984058593
independent,Fund C,NS_FUND_C,5.0,0.0,0.0,0.0,0.0,0.023832350555601945,0.005308271015447135
moderate,Bank A,NS_BANK_A,0.0,60152.171072654375,60152.171072654375,60152.171072654375,60152.171072654375,0.015,0.0
moderate,Bank A,NS_BANK_A,0.25,336510.5660280384,1389568.5324637743,356866.9078683062,1428473.2175839895,0.015513394664667658,0.003806802325729505
moderate,Bank A,NS_BANK_A,0.5,461136.1851544423,1992157.0917140457,520083.58091775654,2131657.3715268024,0.015928046100298205,0.00390667036063547
moderate,Bank A,NS_BANK_A,0.75,568170.0350272151,2505304.127931611,660099.1918293479,2748811.974583975,0.01627792454651484,0.00398462855991587
moderate,Bank A,NS_BANK_A,1.0,663598.3805882253,3042937.523213204,784494.4666906772,3346087.037045151,0.016546392024561214,0.004043379036213447
moderate,Bank A,NS_BANK_A,1.25,755402.5811837421,3420902.50479405,900640.0211796128,3786141.310057606,0.016779730850394536,0.0040870069234765155
moderate,Bank A,NS_BANK_A,1.5,852334.0527691456,3928400.2317915275,1016252.6696871612,4394430.1012336295,0.017058534841935574,0.004131288232525388
moderate,Bank A,NS_BANK_A,1.75,933410.7893776043,4400972.647969789,1118972.6476725074,4914721.12808372,0.01724060464806004,0.0041686400226141375
moderate,Bank A,NS_BANK_A,2.0,27620.11339255808,218875.9102245093,27822.8340207948,221955.91277243028,0.0173947886020924,0.004190407431069892
moderate,Bank A,NS_BANK_A,2.25,39283.34292680094,313470.271169087,39025.65604883479,313358.202768686,0.017497828181489313,0.004202300648154883
moderate,Bank A,NS_BANK_A,2.5,52088.92504365832,391867.13802693394,52423.10791101862,395361.2345595221,0.017632624025973865,0.004211652714312255
moderate,Bank A,NS_BANK_A,2.75,69757.1073992064,492271.5298743889,69522.48357731938,493145.02081386244,0.017724945486065933,0.004219478361261431
moderate,Bank A,NS_BANK_A,3.0,91348.22428414486,604062.0198966303,90632.66425776659,598299.633722394,0.017828880953732074,0.0042233318856381786
moderate,Bank A,NS_BANK_A,3.25,89546.23290434468,586090.4424682029,89241.48206953688,586083.2871443803,0.017828880909861386,0.004216201193114779
moderate,Bank A,NS_BANK_A,3.5,87573.9598918514,534409.2747918768,86171.26367603183,527659.5914849625,0.0178636349557612,0.004200989755932421
moderate,Bank A,NS_BANK_A,3.75,81192.6364680491,495812.9260568026,80225.74821104498,492422.23101988103,0.017844714063275383,0.004183877146024896
